Make,TotalInjuries
Stinson,71
Piper,6683
Cessna,9640
Rockwell,198
"North American",191
Beech,3784
Bellanca,345
Navion,22
Enstrom,49
Smith,29
Bell,1332
Grumman,248
Beechcraft,36
Maule,110
"Air Tractor",121
"STILL MICHAEL J",0
"EVOLUTION AIRCRAFT INC",4
Aerospatiale,349
Mooney,685
"METCALFE ROBERT B",0
Boeing,8748
Curtis,2
Hughes,203
"GREAT LAKES",11
Champion,135
SWEARINGEN,109
Schleicher,39
"MAURER ELMO A",0
Robinson,618
Folland,3
SOCATA,106
Quickie,5
"RIGGS KENNETH W",0
"ROBINSON HELICOPTER",54
Lockheed,326
Embraer,436
"ICON AIRCRAFT INC",3
"Virgil D. Hawks",0
"Aero Commander",246
"MOONEY AIRCRAFT CORP.",8
AIRBUS,1325
"De Havilland",369
"Bell Helicopter",11
"Air Command",14
"Bede Aircraft",9
Holmes,0
Convair,51
"BRITISH AEROSPACE",244
TEMCO,6
Mocock,1
Beachner,2
Schweizer,89
"QUEST AIRCRAFT COMPANY LLC",3
Luscombe,71
"CLOUD JEFFREY FERRELL",0
Canadair,53
"Rans Company",0
VANDERARK,0
"TEXTRON AVIATION INC",6
"PIPER AIRCRAFT",10
Douglas,984
HOMER,0
"Sons Mustang",2
Dassault/sud,2
"Walter Chandler",0
Sikorsky,193
Mbb,65
"Mcdonnell Douglas",1286
"BELL HELICOPTER CO",1
"JOHN ROSCOE",0
Bell/textron,0
"ROCKWELL INTERNATIONAL",23
Robertson,25
Hayes,2
QUICKSILVER,22
"BELL HELICOPTER TEXTRON CANADA",11
Fairchild,146
Aeronca,118
Riddell,0
ERCOUPE,18
Aerostar,19
Ryan,37
"Ercoupe (eng & Research Corp.)",42
Waco,13
Hagg,0
"HAWKER BEECHCRAFT CORPORATION",4
"RUTTEN PHIL J",0
"MD HELICOPTER",23
"BUEHLMANN PETER",0
"AVEKO SRO",0
"KARPAYEV VLADYSLAV V",0
"DOSHIER WILBERT A",0
"PIPER / LAUDEMAN",0
"Smith Miniplane",0
Mitsubishi,167
"Donald E. Samuels",0
Mcdonnell-douglas,0
"COLUMBIA AIRCRAFT MFG",12
"MOTLEY GARY W",0
Taylorcraft,78
"Ted Smith",2
Maxair,3
"DRIGGERS QUILLAN E",0
Huddleston/becktold,0
Questaire,0
Raven,4
Aerotek,21
Learjet,133
"ROBINSON HELICOPTER COMPANY",49
Gulfstream,69
Curtiss-wright,6
"Avions Marcel Dassault",0
"Rockwell Comdr",0
"TODD FOLEY",0
"Kevin Leue",2
"WEAVER DAVID A",0
"CANADAIR LTD",1
"Fairchild Hiller",30
EUROCOPTER,186
"Parker Warren",1
"RAYTHEON AIRCRAFT COMPANY",62
"BROCK STEINER",0
"JONES KENT C",0
"Howard Aircraft Corp.",2
"MICHAEL ADAMCZYK",0
"Czech Sport Aircraft a.s.",0
"MCDONNELL DOUGLAS AIRCRAFT CO",0
"CORBEIL SHAWN",0
Porterfield,4
Nihon,2
"Short Brothers",13
"Cessna Aircraft Company",16
"HALLEY KFT",0
"Balloon Works",14
"GRAY JIM ROBERT",0
"GOLDEN CIRCLE AIR",1
Pitts,42
"EMBRAER S A",0
Piaggio,0
"AVIAT AIRCRAFT INC",7
ANTONOV,71
"AMERICAN CHAMPION AIRCRAFT",13
Latham,0
"BROWNING GREGORY S",1
"KELLEY DERRICK/LEZA",0
"X-AIR LLC",1
LET,39
Kaman,11
"BOMBARDIER INC",55
"AEROPRO CZ",2
"PIPISTREL DOO AJDOVSCINA",0
"Construcciones Aeronauticas",1
Weatherly,10
"COSTRUZIONI AERONAUTICHE TECNA",4
Eagle,6
"CIRRUS DESIGN CORP",127
"BARNES STEVEN D",0
"Gulfstream Aerospace LP",0
"Bartholomew Kolb",1
AYRES,45
Helio,17
S.O.C.A.T.A.,0
"CUBCRAFTERS INC",0
Elliott,0
"CUB CRAFTERS INC",0
Just,3
"Hawker Siddeley",36
"Clyde L. King",0
Barnes,0
"DAYTON A DABBS",0
"HARROP BLAKE",0
Benson,5
"GELDERMANN BERT E",0
"MD HELICOPTERS INC",5
"Starduster Ii",0
"BRYK STEVEN L",0
Homebuilt,5
"TOMLINSON TRACY L",0
"Monocoupe Aircraft",2
"Smith Mini",0
"Six Chuter",0
Zodiac,1
"BUCKEYE INDUSTRIES INC",0
"MATHENY LARRY E",0
MOSQUITO,0
"VANS AIRCRAFT INC",6
"HELICOPTERES GUIMBAL",0
"SKWIRA MATTHEW J",1
"QUARTZ MOUNTAIN AEROSPACE",0
DEHAVILLAND,63
"FOXFLY INC",0
"Smith Aerostar",3
"EUROCOPTER FRANCE",24
Glassair,2
"AIRBUS HELICOPTERS",13
"VERTICAL AVIATION TECHNOLOGIES",0
"WAYNE MILLER",0
"Rockwell Intl",0
Hiller,30
Schreder,2
"Reims Aviation",8
"HUGHES HELICOPTERS INC",0
"GREGORY NEWMAN",1
"SOMERTON DAVID J",0
Varga,6
HENDERSON,3
"HEINLEIN GEORGE",0
Hatz,0
"THE BOEING COMPANY",0
"BAKER VICTOR R",0
"Nord Aviation",0
SKYRUNNER,0
"SHANKS V ROGER",0
"OLIVER LAWRENCE R",0
"HASTINGS THOMAS G",4
Crook,0
"American Yankee",6
Colonial,2
"Piper Aircraft, Inc.",4
"Herbert W. Ross",2
"BEECH AIRCRAFT CO.",2
"David Lowe",0
"HARRIS PIERCE",0
"SCHEINEMAN-VAN BUREN",0
"Gulfstream American",26
"BLACK DONALD",0
SOKO,0
Akins,1
NEIVA,12
STEARMAN,1
"Sunrise Ultralight",0
Paulbicke,1
"AIRBORNE WINDSPORTS PTY LTD",8
"Glasair Iii",0
"AIR TRACTOR INC",40
"BEECH AIRCRAFT",8
AVRO,0
"Grumman American",111
"Mckinley Eaa",0
Airmate,0
"ROBERT SNYDER",1
MESSERSCHMITT-BOLKOW-BLOHM,4
"MACDONALD CRAIG",0
"REILLY CHARLES W",0
B??lkow,2
"Burnett, Jerry D.",0
Bereznak,0
Snow,4
"LEARJET INC",9
"CZECH SPORT AIRCRAFT AS",5
"AMERICAN EUROCOPTER CORP",6
"JOHNSON GERALD",0
"LYONS ROBERT",0
"Rockwell Commander",4
WHITE,0
Rotorway,10
Schempp-hirth,28
Lewis,2
BESARICK,0
"LITHUANIAN FACTORY OF AVIATION",0
PFLUGRADT,0
"CUB CRAFTERS",6
"GULFSTREAM AEROSPACE",24
"RANS INC",3
"MILLS MICHAEL",1
"FLIGHTWORKS CORP",0
"Brault Glasair",0
Snider,0
Huff,0
Varieze,8
"Fred B. Stencel",0
Townsend,0
Schwartz,1
Smelser,0
Fagerberg,0
"Rutan Aircraft Factory",1
"Rudolph Zeller",1
"Brantly Helicopter",4
"Donald L. Hedeman",1
"Travel Air",2
"Israel Aircraft Industries",50
"W. R. Mathis",0
"Aerospace Tech. Of Australia",11
"Richard Cheney",0
Lancair,39
"Kolb Company",5
Vuncannon,0
Challenger,7
Gildersleeve,0
"Universal Globe",1
Tierra,1
Glasflugel,5
"Corley Hubert",0
"FAIRCHILD FUNK",0
"LINDSTRAND BALLOONS",1
"MX AIRCRAFT LLC",0
"LYNN PERRY",0
"ANDERSON DARRELL L",0
"SCHWEIZER AIRCRAFT CORP",2
GLOBE,27
STANLEY,0
"ULTRAMAGIC SA",0
"Terry G. Olson",0
"DIAMOND AIRCRAFT IND INC",16
"AMES ANGIER M",2
Ragle,2
ROBIN,12
"BEECH AIRCRAFT CORPORATION",4
"SASSER ALLEN L",0
"CARR B L",0
