Country,TotalInjuries
,189
Afghanistan,128
Albania,0
Algeria,107
"American Samoa",19
Angola,27
Anguilla,0
Antarctica,2
"Antigua and Barbuda",4
Argentina,245
Aruba,0
"ATLANTIC OCEAN",267
Australia,284
Austria,53
AY,0
Bahamas,191
Bahrain,148
Bangladesh,0
Barbados,14
Belarus,2
Belgium,21
Belize,16
Benin,141
Bermuda,0
"BLOCK 651A",1
Bolivia,116
"Bosnia And Herzegovina",10
Botswana,1
Brazil,1243
"British Virgin Islands",0
Bulgaria,1
Cambodia,2
Cameroon,186
Canada,946
"CARIBBEAN SEA",5
Cayenne,2
"Cayman Islands",2
"Central Africa",137
"Central African Republic",25
Chad,0
Chile,98
China,486
Colombia,704
Congo,4
Corsica,2
"Costa Rica",39
"Côte d'Ivoire",181
Croatia,43
Cuba,120
Cyprus,0
"Czech Republic",17
Denmark,15
Dominica,15
"Dominican Republic",273
Ecuador,77
Egypt,296
"El Salvador",87
Estonia,16
Eswatini,56
Ethiopia,284
"Federated States Of Micronesia",1
Fiji,7
Finland,16
France,813
"French Guiana",1
"French Polynesia",20
Gabon,5
Gambia,8
Georgia,2
Germany,327
Ghana,0
"Great Britain",0
Greece,140
Greenland,8
Guadeloupe,21
Guam,1
Guatemala,210
Guernsey,0
Guinea,0
"GULF OF MEXICO",23
Guyana,14
Haiti,68
"HIGH ISLAND",7
Honduras,173
"Hong Kong",1
Hungary,12
Iceland,18
India,970
Indonesia,949
Iran,187
Iraq,16
Ireland,42
"Isle of Man",2
Israel,8
Italy,363
Jamaica,8
Japan,88
Jordan,0
Kazakhstan,29
Kenya,73
"Korea, Republic Of",149
Kyrgyzstan,69
Latvia,9
Lebanon,90
Liberia,6
Libya,103
Lithuania,5
Luxembourg,0
Macao,4
Madagascar,6
Malampa,1
Malawi,14
Malaysia,261
Maldives,10
Mali,4
Malta,5
"Marshall Islands",1
Martinique,0
Mauritania,1
Mauritius,3
Mexico,653
Micronesia,1
MISSING,46
Montserrat,1
Morocco,9
Mozambique,5
MU,0
Namibia,53
Nauru,0
Nepal,84
Netherlands,27
"Netherlands Antilles",2
"New Caledonia",4
"New Zealand",63
Nicaragua,16
Nigeria,481
Niue,4
"Northern Mariana Islands",5
Norway,34
Obyan,0
"Pacific Ocean",22
Pakistan,406
Palau,0
Panama,131
"Papua New Guinea",57
Paraguay,9
Peru,490
Philippines,291
Poland,48
Portugal,238
"Puerto Rico",22
Qatar,1
"Republic of North Macedonia",10
Reunion,2
Romania,20
Russia,765
Rwanda,0
"Saint Barthelemy",31
"Saint Pierre and Miquelon",2
"Saint Vincent and the Grenadines",1
"San Juan Islands",0
"Saudi Arabia",19
Scotland,1
Senegal,30
Serbia,3
Seychelles,0
Singapore,7
"Sint Maarten",3
Slovakia,3
Slovenia,8
"Solomon Islands",2
Somalia,0
"South Africa",122
"South Korea",16
"South Korean",4
"South Sudan",52
Spain,375
"St Lucia",5
"St Vincent And The Grenadines",0
Sudan,115
Suriname,175
Sweden,48
Switzerland,86
Taiwan,433
Tanzania,43
Thailand,96
Tokelau,14
"Trinidad And Tobago",0
Tunisia,15
Turkey,224
"Turks And Caicos",23
"Turks And Caicos Islands",8
Uganda,35
Ukraine,313
UN,5
"United Kingdom",467
"United States",30189
Unknown,1
Uruguay,96
Venezuela,381
Vietnam,0
"Virgin Islands",1
"Wallis and Futuna",0
"West Indies",4
Wolseley,1
Yemen,0
Zambia,11
Zimbabwe,6
