Location,TotalInjuries
"MOOSE CREEK, ID",3
"BRIDGEPORT, CA",18
"Saltville, VA",5
"EUREKA, CA",7
"Canton, OH",1
"COTTON, MN",4
"PULLMAN, WA",3
"EAST HANOVER, NJ",0
"JACKSONVILLE, FL",42
"HOBBS, NM",2
"TUSKEGEE, AL",3
"HOMER, LA",2
"HEARNE, TX",4
"CHICKASHA, OK",3
"LITTLE ROCK, AR",28
"MIDWAY, UT",2
"SKWENTA, AK",4
"Calgary Springbank, Canada",2
"GALETON, PA",0
"MIAMI, FL",184
"YPSILANTI, MI",1
"CHARLOTTE, MI",2
"CHAMBLEE, GA",6
"VAN NUYS, CA",27
"Tallahassee, FL",12
"10 NM W LEE VIN, CA",2
"West Seneca, NY",1
"ASHLAND, VA",10
"Kew, New South Wales, Australia",2
"PINEHURST, NC",1
"WHITE PLAINS, NY",1
"COCOA, FL",0
"SAN CLEMENTINE, CA",0
"FORT WORTH, TX",11
"GREENOUGH, MT",0
"PLEASANT HILL, OR",4
"Mount Vernon, WA",2
"NEAR LAS VEGAS, NV",2
"FORT WAYNE, IN",8
"ESTANCIA, NM",0
"SAINT CROIX",1
"RAMONA, CA",27
"BLACK CANYON CI, AZ",1
"ITHACA, NY",9
"Chandler, AZ",18
"PENSACOLA, FL",17
"LONOKE, AR",2
"Skwentna, AK",16
"GASTONIA, NC",4
"SPRINGERVILLE, AZ",5
"Berlin, NH",0
"Bremen, Germany",0
"PINCONNING, MI",0
"JERSEYVILLE, IL",3
"NEW HOLSTEIN, WI",0
"Port Townsend, WA",3
"BETHEL, AK",15
"ROLLA, MO",1
"RATTLESNAKE ISL, OH",1
"MAMMOTH LAKES, CA",25
"JACKSON, WY",5
"PAXTON, IL",1
"Dawsonville, GA",3
"HILTON HEAD, SC",9
"Selma, CA",2
"NEAR BAKERSFIEL, CA",0
"Whiteville, NC",2
"CHESTERFIELD, MO",16
"Namur, Belgium",0
"HELENA, MT",10
"WESTMINISTER, MD",0
"LA GRANGE, GA",0
"LAREDO, TX",12
"DELAND, FL",23
"ODESSA, FL",8
"GLENDALE, CA",1
