Event.Date,Location,Country,Total.Fatal.Injuries
1948-10-24,"MOOSE CREEK, ID","United States",2
1962-07-19,"BRIDGEPORT, CA","United States",4
1974-08-30,"Saltville, VA","United States",3
1977-06-19,"EUREKA, CA","United States",2
1979-08-02,"Canton, OH","United States",1
1981-08-01,"COTTON, MN","United States",4
1982-01-01,"PULLMAN, WA","United States",0
1982-01-01,"EAST HANOVER, NJ","United States",0
1982-01-01,"JACKSONVILLE, FL","United States",0
1982-01-01,"HOBBS, NM","United States",0
1982-01-01,"TUSKEGEE, AL","United States",0
1982-01-02,"HOMER, LA","United States",0
1982-01-02,"HEARNE, TX","United States",1
1982-01-02,"CHICKASHA, OK","United States",1
1982-01-02,"LITTLE ROCK, AR","United States",2
1982-01-02,"MIDWAY, UT","United States",0
1982-01-02,"SKWENTA, AK","United States",3
1982-01-02,"GALETON, PA","United States",0
1982-01-02,"MIAMI, FL","United States",0
1982-01-02,"YPSILANTI, MI","United States",0
1982-01-02,"CHARLOTTE, MI","United States",0
1982-01-02,"CHAMBLEE, GA","United States",0
1982-01-03,"VAN NUYS, CA","United States",0
2017-10-27,"Tallahassee, FL","United States",0
1982-01-03,"10 NM W LEE VIN, CA","United States",2
2017-10-27,"West Seneca, NY","United States",0
1982-01-03,"ASHLAND, VA","United States",8
1982-01-03,"PINEHURST, NC","United States",1
1982-01-03,"WHITE PLAINS, NY","United States",0
1982-01-03,"COCOA, FL","United States",0
1982-01-03,"SAN CLEMENTINE, CA","United States",0
1982-01-03,"FORT WORTH, TX","United States",0
1982-01-03,"GREENOUGH, MT","United States",0
1982-01-04,"PLEASANT HILL, OR","United States",4
2017-10-28,"Mount Vernon, WA","United States",0
1982-01-04,"NEAR LAS VEGAS, NV","United States",2
1982-01-04,"FORT WAYNE, IN","United States",2
1982-01-04,"ESTANCIA, NM","United States",0
1982-01-05,"RAMONA, CA","United States",3
1982-01-05,"BLACK CANYON CI, AZ","United States",1
1982-01-05,"ITHACA, NY","United States",2
2017-10-28,"Chandler, AZ","United States",0
1982-01-05,"PENSACOLA, FL","United States",0
1982-01-05,"LONOKE, AR","United States",0
2017-10-28,"Skwentna, AK","United States",0
1982-01-05,"GASTONIA, NC","United States",0
1982-01-05,"SPRINGERVILLE, AZ","United States",0
2017-10-29,"Berlin, NH","United States",0
1991-01-01,"PINCONNING, MI","United States",0
1991-01-01,"JERSEYVILLE, IL","United States",0
1991-01-01,"NEW HOLSTEIN, WI","United States",0
2017-10-30,"Port Townsend, WA","United States",0
1982-01-05,"BETHEL, AK","United States",0
1982-01-06,"ROLLA, MO","United States",0
1991-01-02,"RATTLESNAKE ISL, OH","United States",1
1982-01-06,"MAMMOTH LAKES, CA","United States",0
1982-01-06,"JACKSON, WY","United States",0
1982-01-06,"PAXTON, IL","United States",0
2017-10-30,"Dawsonville, GA","United States",0
1982-01-06,"HILTON HEAD, SC","United States",0
2017-10-30,"Selma, CA","United States",0
1982-01-06,"NEAR BAKERSFIEL, CA","United States",0
2017-10-31,"Whiteville, NC","United States",1
1991-01-02,"CHESTERFIELD, MO","United States",0
1982-01-07,"HELENA, MT","United States",2
1982-01-07,"WESTMINISTER, MD","United States",0
1991-01-02,"LA GRANGE, GA","United States",0
1982-01-07,"LAREDO, TX","United States",0
1991-01-02,"DELAND, FL","United States",0
1982-01-08,"ODESSA, FL","United States",1
1991-01-03,"GLENDALE, CA","United States",1
1982-01-08,"NEW PHILADELPHI, OH","United States",1
1991-01-03,"DES MOINES, IA","United States",0
1991-01-03,"PORT ORCHARD, WA","United States",1
1982-01-08,"PULLMAN, WA","United States",0
1982-01-08,"CUTCHOGUE, NY","United States",0
1991-01-04,"COLUMBIA, OH","United States",0
1982-01-08,"LIBERTY, MO","United States",0
1991-01-04,"LUTZ, FL","United States",0
1982-01-08,"PEORIA, IL","United States",0
1991-01-04,"DEMING, NM","United States",0
1982-01-08,"SANDUSKY, OH","United States",0
1991-01-04,"BEMIDJI, MN","United States",0
2017-11-02,"Montague, MA","United States",0
1991-01-05,"HILO, HI","United States",0
1982-01-08,"GRANTITEVILLE, SC","United States",0
1982-01-09,"CALISTOGA, CA","United States",0
1991-01-05,"MUSKOGEE, OK","United States",6
2017-11-02,"Redding, CA","United States",0
1982-01-09,"NAPA, CA","United States",0
1991-01-05,"WASILLA, AK","United States",0
2017-11-03,"Las Vegas, NV","United States",0
1982-01-09,"FRUIT VALE, TX","United States",0
1991-01-06,"GALLIPOLIS, OH","United States",1
1991-01-06,"SACRAMENTO, CA","United States",1
1991-01-06,"FREEPORT, IL","United States",1
1982-01-09,"TOMBALL, TX","United States",0
1991-01-06,"UKIAH, CA","United States",0
1991-01-06,"RED BLUFF, CA","United States",0
2017-11-03,"Murphy, ID","United States",1
1982-01-09,"MOKULEIA, HI","United States",0
1991-01-06,"FT. ATKINSON, WI","United States",0
1982-01-09,"STEAMBOAT SPRIN, CO","United States",0
